ticker,official_name,variants
BAC,Bank of America Corporation,Bank of America|BofA|BankAmerica
XOM,ExxonMobil Holdings Corporation,Exxon Mobil|ExxonMobil|Exxon
JPM,JP Morgan Chase & Co.,JPMorgan Chase|JPMorgan|JP Morgan|J.P. Morgan
GE,GE Aerospace,GE|General Electric|GE Aerospace
PFE,"Pfizer, Inc.",Pfizer
GS,"Goldman Sachs Group, Inc. (The)",Goldman Sachs|Goldman
WFC,Wells Fargo & Company,Wells Fargo
ORCL,Oracle Corporation,Oracle
IBM,International Business Machines Corporation,IBM|International Business Machines|Big Blue
BA,The Boeing Company,Boeing
JNJ,Johnson & Johnson,Johnson & Johnson|Johnson and Johnson|J&J
WMT,Walmart Inc.,Walmart|Wal-Mart
PG,Procter & Gamble Company (The),Procter & Gamble|Procter and Gamble|P&G
MRK,"Merck & Company, Inc.",Merck
HD,"Home Depot, Inc. (The)",Home Depot
DIS,Walt Disney Company (The),Walt Disney|Disney
AMD,"Advanced Micro Devices, Inc.",Advanced Micro Devices|AMD
SLB,SLB N.V.,Schlumberger|SLB
MU,"Micron Technology, Inc.",Micron Technology|Micron
KO,Coca-Cola Company (The),Coca-Cola|Coca Cola|Coke
AIG,"American International Group, I",American International Group|AIG
MCD,McDonald's Corporation,McDonald's|McDonalds
CAT,"Caterpillar, Inc.",Caterpillar
UNH,UnitedHealth Group Incorporated,UnitedHealth Group|UnitedHealth|United Health
FCX,"Freeport-McMoRan, Inc.",Freeport-McMoRan|Freeport McMoRan|Freeport
MO,"Altria Group, Inc.",Altria Group|Altria|Philip Morris USA
F,Ford Motor Company,Ford Motor|Ford
TXN,Texas Instruments Incorporated,Texas Instruments
PEP,"PepsiCo, Inc.",PepsiCo|Pepsi
HAL,Halliburton Company,Halliburton
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb|Bristol Myers Squibb|Bristol-Myers
AXP,American Express Company,American Express|AmEx
CVS,CVS Health Corporation,CVS Health|CVS Caremark|CVS
MMM,3M Company,3M
LOW,"Lowe's Companies, Inc.",Lowe's Companies|Lowe's|Lowes
LLY,Eli Lilly and Company,Eli Lilly|Lilly
ABT,Abbott Laboratories,Abbott Laboratories|Abbott Labs|Abbott
MDT,Medtronic plc.,Medtronic
OXY,Occidental Petroleum Corporation,Occidental Petroleum|Occidental
VLO,Valero Energy Corporation,Valero Energy|Valero
UNP,Union Pacific Corporation,Union Pacific
NKE,"NIKE, Inc.",Nike
JNPR,"Juniper Networks, Inc.",Juniper Networks|Juniper
UPS,"United Parcel Service, Inc.",United Parcel Service|UPS
USB,U.S. Bancorp,U.S. Bancorp|US Bancorp|U.S. Bank|US Bank
X,United States Steel Corporation,United States Steel|U.S. Steel|US Steel
RIG,Transocean Ltd (Switzerland),Transocean
NEM,Newmont Corporation,Newmont Mining|Newmont
HON,Honeywell International Inc.,Honeywell International|Honeywell
DE,Deere & Company,Deere & Company|Deere|John Deere
LMT,Lockheed Martin Corporation,Lockheed Martin|Lockheed
FDX,FedEx Corporation,FedEx|Federal Express
EOG,"EOG Resources, Inc.",EOG Resources
GLW,Corning Incorporated,Corning
AA,Alcoa Corporation,Alcoa
COF,Capital One Financial Corporation,Capital One Financial|Capital One
APA,APA Corporation,APA Corporation|Apache Corporation
BBY,"Best Buy Co., Inc.",Best Buy
DVN,Devon Energy Corporation,Devon Energy
CSX,CSX Corporation,CSX
KSS,Kohl's Corporation,Kohl's|Kohls
BK,The Bank of New York Mellon Corporation,Bank of New York Mellon|BNY Mellon|Bank of New York
CL,Colgate-Palmolive Company,Colgate-Palmolive|Colgate
DHR,Danaher Corporation,Danaher
PNC,"The PNC Financial Services Group, Inc.",PNC Financial Services|PNC Financial|PNC Bank
MRO,Marathon Oil Corporation,Marathon Oil
SPG,"Simon Property Group, Inc.",Simon Property Group|Simon Property
DUK,Duke Energy Corporation,Duke Energy
BAX,Baxter International Inc.,Baxter International|Baxter
CCL,Carnival Corporation Ltd.,Carnival Corporation|Carnival Cruise|Carnival
TJX,"The TJX Companies, Inc.",TJX Companies|TJX|T.J. Maxx|TJ Maxx
TMO,Thermo Fisher Scientific Inc,Thermo Fisher Scientific|Thermo Fisher
EMR,Emerson Electric Co.,Emerson Electric|Emerson
WMB,"The Williams Companies, Inc.",Williams Companies
CI,The Cigna Group,Cigna Group|Cigna
KR,Kroger Company (The),Kroger
BSX,Boston Scientific Corporation,Boston Scientific
AMT,American Tower Corporation,American Tower
KMB,Kimberly-Clark Corporation,Kimberly-Clark|Kimberly Clark
STT,State Street Corporation,State Street
CIEN,Ciena Corporation,Ciena
SO,Southern Company (The),Southern Company
ADI,"Analog Devices, Inc.",Analog Devices
NOC,Northrop Grumman Corporation,Northrop Grumman|Northrop
GD,General Dynamics Corporation,General Dynamics
NSC,Norfolk Southern Corporation,Norfolk Southern
MCK,McKesson Corporation,McKesson
D,"Dominion Energy, Inc.",Dominion Energy|Dominion Resources
YUM,"Yum! Brands, Inc.",Yum! Brands|Yum Brands|YUM
LUV,Southwest Airlines Co.,Southwest Airlines
ALL,The Allstate Corporation,Allstate
PXD,Pioneer Natural Resources Company,Pioneer Natural Resources|Pioneer Natural
WDC,Western Digital Corporation,Western Digital
GIS,"General Mills, Inc.",General Mills
HUM,Humana Inc.,Humana
GPS,"The Gap, Inc.",Gap Inc|The Gap|Old Navy|Banana Republic
AZO,"AutoZone, Inc.",AutoZone
ITW,Illinois Tool Works Inc.,Illinois Tool Works
NUE,Nucor Corporation,Nucor
MAR,Marriott International,Marriott International|Marriott
